ID Respondent,Course/Strand,Gaming_Frequency,Gaming_Platforms,Weekly_Gaming_Hours,Played_Games,Preferred_Game_Type,Preferred_Genres,Monthly_Gaming_Budget
39,Bachelor of Science in Computer Science,2-3 times a week,"PC,Console",5-10 hours,"Smash Bros: Ultimate,Fortnite",Multiplayer,"Action/Adventure,First-person shooter (FPS),Fighting,Competitive",1000 - 5000 Php
40,Bachelor in Multimedia Arts,Daily,"PC,Console,Mobile",Less than 5 hours,"Valorant,Genshin Impact,Danganronpa ",Multiplayer,"Role-playing (RPG),First-person shooter (FPS),Party Games",None.
41,Bachelor in Multimedia Arts,Once a week,"PC,Mobile",5-10 hours,"Valorant,Minecraft,Jackbox,Among Us",Multiplayer,"First-person shooter (FPS),Competitive",None.
42,Bachelor of Science in Psychology,4-6 times a week,"PC,Mobile",5-10 hours,"Crossout Mobile,Real Racing 3,Star Trek Online",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Racing,Fighting,Competitive",1 - 500 Php
43,Bachelor in Multimedia Arts Major in Animation,Daily,PC,Less than 5 hours,"Valorant,Minecraft,Genshin Impact",Singleplayer,"Role-playing (RPG),Strategy,Puzzle,Party Games",None.
44,Accountancy Business and Management,4-6 times a week,"PC,Mobile",5-10 hours,"Valorant,Minecraft,Overwatch,Mobile Legends: Bang Bang,Tekken,Honkai: Star Rail,Genshin Impact,Among Us",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games",500 - 1000 Php
45,Bachelor of Science in Computer Science,Daily,"PC,Mobile",More than 20 hours,"Valorant,Mobile Legends: Bang Bang,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Competitive,Party Games",500 - 1000 Php
46,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Console,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Fortnite,Honkai: Star Rail,Genshin Impact,NFS,FORZA ASSETTO CORSA",Multiplayer,"Action/Adventure,Sports,First-person shooter (FPS),Racing,Competitive",None.
47,Bachelor of Science in Nursing,4-6 times a week,"PC,Console,Mobile",Less than 5 hours,"Valorant,Overwatch,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Tekken",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Racing,Fighting,Competitive",1000 - 5000 Php
48,Bachelor in Multimedia Arts,Daily,PC,More than 20 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Smash Bros: Ultimate,Fortnite,Roblox,Tekken,Honkai: Star Rail,Genshin Impact,Jackbox,Among Us",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Fighting",500 - 1000 Php
49,Bachelor in Multimedia Arts,Rarely or never,PC,5-10 hours,"Minecraft,Honkai: Star Rail,Genshin Impact,Final Fantasy 7,Uncharted,stardew,Dredge",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Racing,Party Games,Simulation games,Indie games",1 - 500 Php
50,Bachelor in Multimedia Arts,Daily,"PC,Console",Less than 5 hours,"League of Legends,Genshin Impact,Among Us,Terraria,Monster Hunter World,Team Fight Tactics",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Fighting,Party Games,Card Games",500 - 1000 Php
51,Bachelor in Multimedia Arts Major in Animation,Daily,PC,Less than 5 hours,"Valorant,League of Legends,Mobile Legends: Bang Bang,Tekken,Honkai: Star Rail,Bayonetta,Identity V,Elsword",Multiplayer,"Strategy,Fighting",1 - 500 Php
52,Bachelor in Multimedia Arts,4-6 times a week,"PC,Console,Mobile",5-10 hours,"Mobile Legends: Bang Bang,Tekken",Singleplayer,"Action/Adventure,Role-playing (RPG)",None.
53,Bachelor in Multimedia Arts,Daily,"PC,Mobile",5-10 hours,"Minecraft,League of Legends: Wild Rift,Honkai: Star Rail,Genshin Impact,Cookie Run: Kingdom,Honkai Impact 3",Multiplayer,"Role-playing (RPG),Competitive",500 - 1000 Php
54,Bachelor in Multimedia Arts,Daily,Mobile,Less than 5 hours,"Honkai: Star Rail,Genshin Impact,Jump Force,Kart Rider Rush+",Singleplayer,"Action/Adventure,Role-playing (RPG),Racing,Fighting",None.
55,Bachelor of Science in Nursing,Daily,"PC,Mobile",Less than 5 hours,"League of Legends,League of Legends: Wild Rift,Tekken,F1",Multiplayer,"Racing,Competitive",1000 - 5000 Php
56,Bachelor of Science in Computer Science,Daily,PC,10-20 hours,"Valorant,League of Legends,Honkai: Star Rail",Multiplayer,"Role-playing (RPG),First-person shooter (FPS),Racing,Competitive",None.
57,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",10-20 hours,"League of Legends,Minecraft,Tekken,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Fighting,Competitive",1 - 500 Php
58,Bachelor in Multimedia Arts,Rarely or never,"PC,Mobile",Less than 5 hours,"Tekken,Genshin Impact",Singleplayer,"First-person shooter (FPS),Puzzle,Racing",1 - 500 Php
59,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",More than 20 hours,"Minecraft,Roblox,Honkai: Star Rail,Genshin Impact,Jackbox",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Fighting,Party Games",1 - 500 Php
60,Bachelor of Science in Entertainment and Multimedia Computing,Daily,PC,More than 20 hours,Roblox,Singleplayer,"Sports,First-person shooter (FPS),Racing",500 - 1000 Php
61,Bachelor of Science in Entertainment and Multimedia Computing,Once a week,"PC,Console",Less than 5 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Honkai: Star Rail,Among Us,Fall Guys",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle",500 - 1000 Php
62,Bachelor of Science in Computer Science,4-6 times a week,"PC,Console,Mobile",10-20 hours,"Minecraft,Mobile Legends: Bang Bang,Tekken,Phantasy Star Online 2: New Genesis Ver.2",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Racing,Fighting,Party Games",500 - 1000 Php
63,Bachelor of Arts in Biology,Daily,"PC,Mobile",More than 20 hours,"League of Legends,Minecraft,Overwatch,Roblox,League of Legends: Wild Rift,Dota,Starcraft,Team Fortress 2",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Racing,Open World",500 - 1000 Php
64,Bachelor in Multimedia Arts,4-6 times a week,"PC,Mobile",10-20 hours,"Valorant,Call of Duty: Mobile",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Puzzle,Fighting",None.
65,Bachelor of Science in Information Technology,4-6 times a week,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,League of Legends: Wild Rift,Genshin Impact,Forza 4",Multiplayer,"Strategy,Racing,Competitive,Party Games",500 - 1000 Php
66,Bachelor of Science in Computer Science,Daily,Mobile,10-20 hours,"Minecraft,Mobile Legends: Bang Bang,Fall Guys",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games",1 - 500 Php
67,Bachelor in Multimedia Arts,2-3 times a week,"Console,Mobile",Less than 5 hours,"Tekken,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive",None.
68,Bachelor of Science in Electronics Engineering,Daily,"PC,Mobile",Less than 5 hours,"Valorant,League of Legends,Roblox,Mobile Legends: Bang Bang,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Racing,Fighting,Competitive",1 - 500 Php
69,Doctor of Veterinary Medicine,Rarely or never,"PC,Mobile",Less than 5 hours,"Genshin Impact,Among Us,PUBG",Multiplayer,"Role-playing (RPG),First-person shooter (FPS),Puzzle",None.
70,Bachelor of Science in Environmental Planning,Rarely or never,"PC,Virtual Reality (VR)",Less than 5 hours,Roblox,Multiplayer,"Action/Adventure,Role-playing (RPG),Puzzle",None.
71,Media and Visual Arts,2-3 times a week,Mobile,5-10 hours,"Valorant,Mobile Legends: Bang Bang,Tekken",Multiplayer,Role-playing (RPG),None.
72,Programming,Daily,"PC,Mobile",10-20 hours,"League of Legends,Honkai: Star Rail,Genshin Impact,BanG Dream! Girls Band Party!,Prosekai",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Fighting,Competitive,Party Games,Rhythm",1000 - 5000 Php
73,Bachelor in Multimedia Arts Major in Animation,Daily,PC,5-10 hours,"Valorant,Minecraft,APEX Legends,Roblox,Honkai: Star Rail,Genshin Impact,Jackbox,METAL GEAR SERIES,Team Fortress 2,War Thunder,CS:GO",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Competitive,Party Games",None.
74,Bachelor of Arts in English Language Studies,Rarely or never,"PC,Mobile",Less than 5 hours,"Genshin Impact,Call of Duty: Warzone",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Racing,Fighting,Competitive",1000 - 5000 Php
75,Accountancy Business and Management,4-6 times a week,PC,Less than 5 hours,Hearts of Iron IV,Singleplayer,"Action/Adventure,Strategy,First-person shooter (FPS)",500 - 1000 Php
76,Accountancy Business and Management,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Competitive,MOBA",1 - 500 Php
77,Bachelor of Science in Computer Science,4-6 times a week,"PC,Mobile",10-20 hours,"Ensemble Stars,D4DJ,Revue Starlight Re:Live",Singleplayer,"Role-playing (RPG),Puzzle,Rhythm games,Visual Novel,Pixel horror",None.
78,Bachelor of Science in Electronics Engineering,Daily,Mobile,10-20 hours,Clash of Clans,Multiplayer,"Strategy,Fighting",None.
79,Bachelor of Science in Computer Science,4-6 times a week,"PC,Mobile",10-20 hours,Valorant,Multiplayer,Competitive,1 - 500 Php
80,Accountancy Business and Management,2-3 times a week,Mobile,5-10 hours,"Mobile Legends: Bang Bang,Among Us",Multiplayer,"Strategy,Fighting,Competitive",500 - 1000 Php
81,Accountancy Business and Management,Rarely or never,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Sports,Racing",1 - 500 Php
82,Accountancy Business and Management,Daily,"PC,Mobile",Less than 5 hours,"Honkai: Star Rail,Genshin Impact,BanG Dream! Girls Band Party!",Singleplayer,"Action/Adventure,Role-playing (RPG),Rhythm",None.
83,Bachelor in Multimedia Arts Major in Animation,4-6 times a week,PC,10-20 hours,"Valorant,League of Legends",Multiplayer,"Role-playing (RPG),First-person shooter (FPS)",None.
84,Bachelor of Science in Computer Science,Daily,"PC,Mobile",5-10 hours,Honkai: Star Rail,Singleplayer,"Role-playing (RPG),Racing",1 - 500 Php
85,Bachelor of Science in Computer Science,Daily,"PC,Mobile",10-20 hours,"Roblox,Mobile Legends: Bang Bang",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1 - 500 Php
86,Bachelor of Science in Industrial Engineering,Daily,"PC,Console,Mobile",Less than 5 hours,"Minecraft,Mobile Legends: Bang Bang,Genshin Impact,Among Us,Fall Guys",Singleplayer,"Action/Adventure,Racing",1 - 500 Php
87,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy",1 - 500 Php
88,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Puzzle,Racing,Competitive,Party Games",1 - 500 Php
89,Bachelor in Multimedia Arts,2-3 times a week,PC,5-10 hours,"Valorant,Overwatch",Multiplayer,"Action/Adventure,Role-playing (RPG)",500 - 1000 Php
90,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Call of Duty: Mobile,Singleplayer,"Action/Adventure,Fighting,Competitive",1 - 500 Php
91,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Competitive",None.
92,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Tekken,Singleplayer,"Action/Adventure,Puzzle,Fighting",None.
93,Working,2-3 times a week,Mobile,5-10 hours,Mobile Legends: Bang Bang,Multiplayer,Fighting,1 - 500 Php
94,Bachelor of Science in Industrial Engineering,Daily,Mobile,5-10 hours,"League of Legends,Clash of Clans",Multiplayer,"Action/Adventure,Strategy,Puzzle,Fighting,Party Games",1 - 500 Php
95,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Tetris,Singleplayer,Puzzle,None.
96,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Mobile",Less than 5 hours,"Plants vs Zombie,super mario,adventure island",Multiplayer,"Action/Adventure,Puzzle",None.
97,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",Less than 5 hours,"Tekken,Among Us,Sims",Singleplayer,Strategy,1 - 500 Php
98,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",Less than 5 hours,"Mobile Legends: Bang Bang,NBA",Multiplayer,"Action/Adventure,Strategy,Sports,Racing",500 - 1000 Php
99,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Call of Duty,Multiplayer,First-person shooter (FPS),1 - 500 Php
100,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Call of Duty",Multiplayer,Fighting,1 - 500 Php
101,Bachelor of Science in Industrial Engineering,4-6 times a week,"PC,Mobile",Less than 5 hours,"Valorant,Mobile Legends: Bang Bang,Tetr.io",Multiplayer,"Action/Adventure,Strategy,Sports,First-person shooter (FPS),Puzzle,Fighting,Competitive",None.
102,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Puzzle,Racing,Fighting",1 - 500 Php
103,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,5-10 hours,"Mobile Legends: Bang Bang,Call of Duty: Mobile",Multiplayer,"Strategy,Fighting,Competitive",None.
104,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Fall Guys,Multiplayer,"Puzzle,Competitive",1 - 500 Php
105,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,League of Legends: Wild Rift,dumb ways 2 die",Singleplayer,"Strategy,Sports,First-person shooter (FPS),Puzzle,Fighting",None.
106,Bachelor of Science in Industrial Engineering,Once a week,"PC,Mobile",Less than 5 hours,NBA,Multiplayer,"Action/Adventure,Strategy,Sports",1 - 500 Php
107,Bachelor of Science in Industrial Engineering,Once a week,PC,Less than 5 hours,"Valorant,League of Legends",Multiplayer,"Role-playing (RPG),Sports,First-person shooter (FPS)",1 - 500 Php
108,Bachelor of Science in Industrial Engineering,4-6 times a week,Mobile,5-10 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Sports,Fighting",1 - 500 Php
109,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,League of Legends: Wild Rift",Multiplayer,"Action/Adventure,Strategy",1000 - 5000 Php
110,Bachelor of Science in Industrial Engineering,2-3 times a week,"PC,Mobile",Less than 5 hours,"Valorant,Mobile Legends: Bang Bang,Call of Duty: Mobile",Singleplayer,"Action/Adventure,Sports,First-person shooter (FPS),Fighting",1 - 500 Php
111,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,League of Legends: Wild Rift,Among Us",Multiplayer,"Action/Adventure,Puzzle,Racing,Fighting",None.
112,Accountancy Business and Management,Daily,Mobile,More than 20 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Racing",500 - 1000 Php
113,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Puzzle,Fighting",1 - 500 Php
114,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Strategy,Fighting",None.
115,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Among Us",Multiplayer,"Strategy,Sports,Puzzle,Racing,Fighting,Competitive",None.
116,Working,Once a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Call of duty",Multiplayer,"Action/Adventure,Fighting",None.
117,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,Less than 5 hours,CALL OF DUTY ,Multiplayer,"Action/Adventure,First-person shooter (FPS),Fighting",1 - 500 Php
118,Bachelor of Science in Industrial Engineering,Daily,"PC,Mobile",5-10 hours,"League of Legends,Roblox,Mobile Legends: Bang Bang,Call of Duty: Mobile",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Fighting,Competitive",1 - 500 Php
119,Bachelor of Science in Industrial Engineering,2-3 times a week,Mobile,10-20 hours,"Mobile Legends: Bang Bang,Among Us",Multiplayer,"Action/Adventure,Sports,Puzzle,Fighting",None.
120,Bachelor of Science in Industrial Engineering,Daily,"PC,Console,Mobile",Less than 5 hours,"League of Legends,League of Legends: Wild Rift,Ragnarok",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Racing,Fighting",None.
121,Bachelor of Science in Industrial Engineering,Rarely or never,PC,Less than 5 hours,Ragnarok,Multiplayer,Role-playing (RPG),None.
122,Bachelor of Science in Industrial Engineering,Rarely or never,Mobile,Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Action/Adventure,Strategy,Fighting,Competitive",None.
123,Bachelor of Science in Industrial Engineering,Daily,Mobile,Less than 5 hours,Offline games,Singleplayer,Action/Adventure,None.
124,Bachelor of Science in Industrial Engineering,Once a week,Mobile,Less than 5 hours,"Valorant,Mobile Legends: Bang Bang",Singleplayer,Fighting,None.
125,Bachelor of Science in Industrial Engineering,Rarely or never,"PC,Mobile",Less than 5 hours,Mobile Legends: Bang Bang,Multiplayer,"Strategy,Competitive",1 - 500 Php
